phone_number,pmt,uid,weight,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cont0,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,cont15,cont16,cont17,cont18,cont19,milieu,region,prefecture,canton,voter_region,voter_prefecture,voter_canton,formal_occupation,occupation_poverty,responded,draw_probability,response_probability
PQBKL5PPMLSFYVD,5024.072777576913,10,5.526337043691796,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,group4,group4,group5,group1,group0,group4,group5,group7,group1,group2,0.5787902703881095,0.9239110150457497,0.4192044523702947,6.900203170059535,2.917279374140842,6.718857333041169,2.3440008063849658,5.86451944984229,2.505552329820836,1.0084909530730064,0.7110322143014145,2.0592049179127656,3.398390147663375,1.1266658559431475,7.206537318684746,2.4240612980156913,3.055085537930111,6.006564529771342,2.7245797182333016,4.65458432827439,rural,KARA,DANYI,244.0,KARA,GOLFE,235.0,1.0,6.0,1,0.8393030068340136,0.2850148881077951
IN2PZ9W3G7I1SQV,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.6398380352080995,0.2385535471132415
3O8YKGVN46OP30L,7176.801031526777,12,1.1919804612431104,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,group3,group2,group5,group6,group1,group6,group5,group1,group3,group0,0.1142096753577212,0.781327201993006,2.3989491296429923,6.29211172848913,2.506289460951552,5.570685552934459,0.1186696334191184,7.954745458954614,1.101954489328771,1.5717740009219117,0.31389027736746433,0.2537628106525125,0.9888046857279242,7.419778091963013,3.5909381532937044,0.860222384583536,7.74719319553732,1.3524909395185314,1.2063684300613038,0.3331826348825908,rural,SAVANES,BAS-MONO,182.0,MARITIME,AGOU,188.0,1.0,1.0,1,0.3507267679803512,0.16162699450388562
BB0W2RZPCJLC412,6114.707545077521,13,1.015320612611383,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,group1,group2,group5,group6,group2,group4,group0,group4,group1,group1,0.028295378727286602,0.8265640508155259,7.591215326803266,4.0944585955867305,3.453411086617422,1.8458328645284645,5.690518922223129,5.094637507322848,1.32670457023683,4.230902797817168,0.9367509371754323,1.1766659943314732,1.7230222768404198,2.556419884779271,6.4248286858397,0.15482725965780375,6.687652764710507,6.873464271049489,0.44378873282924336,1.4200837053142017,rural,MARITIME,OGOU,283.0,CENTRALE,TCHAMBA,11.0,0.0,3.0,1,0.10889768343258732,0.3666208091014558
IX54ZOA5MN77EQW,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8995017060944076,0.7759217283092559
M2BXEX6ZQCG2876,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5861117382748768,0.9044623837638939
0U8XGS5LA4NVO6I,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.13902787233551206,0.5572100204108805
XZ9GQRJP1C39MDZ,4529.834396619737,17,4.214915297962674,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,group7,group2,group6,group7,group1,group2,group5,group8,group4,group2,0.5813390168011896,0.14126741416529298,1.1228699866308984,5.82433498358943,1.2822950570603973,8.12368153852759,5.641807718106123,5.293767105729383,1.8938449167626783,3.9476334954245247,0.4081717780100014,2.990439039115455,0.887988127119777,0.41945721298935457,0.22027205937642158,5.0307740992670205,4.612015676572125,8.177855981675394,4.984193444326948,1.6981254475584002,rural,MARITIME,KPELE,160.0,SAVANES,BAS-MONO,358.0,1.0,5.0,1,0.9172566059168918,0.7888320397266679
EONNHP1J1SGWFPU,3102.9831102510393,18,3.239831951134736,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,group3,group2,group2,group1,group1,group6,group5,group3,group3,group0,0.3623031634892815,0.25116191571392343,4.068156178944319,1.4230178573318328,2.1013068983023504,8.873874640096176,3.3118535489215937,6.158966006595425,0.44668377357222333,4.762858550038518,1.4259657435273696,0.9053651529864695,0.0443425629755545,0.08776133956347998,4.812606854231283,3.452955460597029,1.637188556633565,3.3771800728452783,4.655482473816486,5.722338138548127,urban,SAVANES,DANKPEN,51.0,MARITIME,OTI,386.0,0.0,6.0,1,0.6558863653646525,0.004581595972463548
NYLFAFBAH6OXKJM,3431.065393528177,19,4.549904827664507,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,group3,group3,group6,group4,group2,group3,group1,group2,group3,group0,0.5061893733746706,0.5713501811965098,7.358456763603924,0.08860283206852504,3.7730742383098015,0.3974337733544876,5.344235465782159,1.3839529577026566,2.6264756501513213,0.4576765144145917,0.2783527532473806,1.027017809304823,2.4601652855413727,3.6303787149193347,5.945986125273171,3.0623775218692595,6.839524143268875,4.3703534215457625,0.06019977533507026,0.7959040308983418,rural,MARITIME,TANDJOARE,69.0,SAVANES,AGOU,278.0,1.0,7.0,1,0.8518892523640506,0.43956756085032567
18IQULTQY617WVC,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9951503297114079,0.7341372260955024
Q45EZ10AVJVHPFJ,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9614189320301454,0.7224008975091692
8VCGRM379BBZTPH,7055.703485981934,22,3.3306025854832217,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,group0,group0,group6,group2,group1,group1,group5,group7,group4,group1,0.48370218571664747,0.3801091239677522,5.654325590556025,7.155954058176533,3.0116565866863456,7.96852349990503,2.5056062843367894,3.695592825720044,2.1205820529446036,2.503007393378689,1.0428149838991767,1.2777990535596924,4.362880189016937,6.31674983785298,4.3565228708209425,3.0504802134569067,6.395763184779341,0.7087856965383101,2.3048784660672816,0.8904377917483304,rural,KARA,ASSOLI,359.0,CENTRALE,VO,95.0,1.0,8.0,1,0.05700622319297155,0.9004697499381266
4AIIXGKA54LQ0KO,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24726792962752853,0.9929927213764601
HXHM1IYKQZUQ4GY,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.366622179939188,0.11258018948793524
E216N9BDKZMIPRH,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8009529150922127,0.8193315714996057
3EIIOTCKX1PH4AV,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.6926682235675738,0.9855761422933794
6Y3W34LL28AL2RB,2968.102083800425,27,5.08306179440091,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,group2,group5,group0,group1,group1,group6,group3,group3,group1,group2,0.062023596532118974,0.45005385400518316,0.5322806127501156,6.286565461257417,0.3343713853106336,3.932760476814395,3.789516437663653,0.6874473394840966,0.5241294619975012,1.228350034149277,1.4629041665201779,0.5820800730415405,1.0067825823183563,1.9042995145791428,5.773797831835639,2.1618850269388004,6.569237272839497,5.365392952943235,2.4447991934258537,1.2709700681439724,rural,KARA,LACS,324.0,MARITIME,AGOE-NYIVE,296.0,1.0,5.0,1,0.5722425347387649,0.6072018568709192
SAMREDN39PG4L09,5783.677896489436,28,2.456712297731897,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,group4,group1,group3,group5,group1,group0,group4,group3,group1,group1,0.9712391037439678,0.0622491843821632,0.19002421604020459,3.6583150081537186,0.21897418616390452,5.015497476991943,1.050895196786883,2.0750644542466867,2.902960385065062,0.08277734720851526,1.526892215019893,0.6109307121983059,2.6551878820570445,6.185395945153566,1.611199608238305,4.126555197486407,4.397401638265524,8.93988931104925,2.166550401189462,2.0029076872888805,urban,CENTRALE,DOUFELGOU,23.0,KARA,TONE,275.0,1.0,8.0,1,0.723255624827192,0.22313187642866106
OPD8OI8WLJU941J,2015.718409128925,29,2.9705257090478394,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,group1,group3,group1,group4,group1,group3,group3,group8,group3,group0,0.32105083925502687,0.8793653654673863,1.7740724273125057,2.436279814589354,3.5963614496031093,1.7875639809748518,5.257573417757935,4.5987688201619195,0.2798807452640468,1.5875391739456846,0.9072736553075047,2.5825915368394496,1.1439649735466388,7.418560777613321,5.987888404159147,0.20354958939867362,3.6338712390340753,6.409796978761068,2.9178758527868998,2.1729756840701784,rural,SAVANES,BLITTA,320.0,PLATEAUX,YOTO,176.0,0.0,10.0,1,0.29599748226548095,0.9043899957822673
AFCRUJ7RGRXOTF6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.31897609389238857,0.16101214849849044
36PD0ZJKVGJ2YMP,4538.1083411378,31,5.10477891059579,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,group6,group4,group0,group6,group0,group1,group3,group2,group3,group0,0.20260358662917655,0.9279378339666728,0.8312895396805517,0.8118366122494605,0.3697693742440622,6.9378693081840455,0.4193705667436196,3.558803813535606,2.4610718098592397,2.173936146310447,1.6799472198185867,1.1125607631652794,2.5480729143851866,2.4395916110835154,1.6901147550035986,1.9894394909476523,0.5677409636333843,3.066298068760001,0.4025833794294076,1.1594088259801252,urban,CENTRALE,LACS,229.0,KARA,TCHAOUDJO,306.0,0.0,9.0,1,0.16029227877115448,0.767703660848826
ZYBOFHC8YAAEOBW,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.44257755322930237,0.815640042099111
G68C5J03B8QZ9D5,4595.946975846891,33,1.842390567579609,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,group6,group5,group1,group4,group2,group2,group5,group2,group2,group0,0.7530692182157023,0.9288114001302448,5.377557413973532,6.279771207739249,1.4839450708916844,7.478744723932829,1.6090200900613858,8.45625754103143,1.5619211587414814,3.615693407596706,0.4886460699491868,2.997394200540808,3.5733553280076134,4.174067495006198,2.7948497057917834,4.639081442508446,6.508286328570889,7.520916870154669,3.3822415380245996,5.634649569835663,urban,PLATEAUX,AGOE-NYIVE,213.0,MARITIME,GOLFE,60.0,0.0,1.0,1,0.7748238505413336,0.12240465131679379
O86GY92UGUSLTDV,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8790278707625552,0.8763486410886019
OZNC39DJ26QVKM7,8110.365431906159,35,3.194881768360693,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,group4,group5,group8,group6,group2,group6,group3,group1,group3,group2,0.386908230597767,0.19287089972105542,6.891725854630094,6.710709708329403,3.9955892186649837,7.168003776213373,3.4704259591274877,1.463000838489191,2.0962437140873877,4.515460379135743,1.6604853287398305,0.1965701737498856,4.9362228486060715,4.3824808167677025,1.5328034095903424,7.933889054581742,1.1160358539256272,7.496169596396593,0.6536151112675503,6.137192512396891,urban,KARA,BINAH,220.0,KARA,TONE,61.0,0.0,9.0,1,0.9182422496994322,0.9892509546830589
DU15S64IY4U782U,9011.3393861785,36,1.4923148893319813,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,group1,group0,group0,group7,group0,group1,group2,group6,group2,group1,0.54622715782825,0.857339055647848,1.71974455276154,0.8827906520240356,0.009726894361010263,2.5776742713496033,4.610569855944508,4.392995650158761,1.713735619898633,1.8369467737267875,0.9752840918086041,1.6568638589154356,0.49934614179108494,5.341240929120685,4.967439849304308,3.2875769285874883,3.7457919811337197,1.6950465645059114,3.422854757393888,5.718076393615628,urban,CENTRALE,MOYEN-MONO,142.0,KARA,DANKPEN,288.0,0.0,1.0,1,0.5743986452884672,0.9031297617466387
AYG9CP1ZW52JJLA,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.07461791007603735,0.5672138830022014
IOVN3AIKQSLEY3N,4043.0878706506364,38,5.482400137138213,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,group5,group1,group3,group7,group2,group1,group5,group7,group2,group0,0.3407260342466393,0.8818796717358884,5.092639867650393,5.433867710465059,3.737149459458541,0.9162174003980994,2.6744753437478517,6.352208241949349,0.2970301458896005,2.0990876203174134,0.3574008833379252,1.9964494195209561,1.8530506351126774,1.6410302254979028,3.6630946948436396,1.8800951303747855,7.89255771771039,3.920092350047872,2.366131088175732,2.980556194895213,rural,KARA,BINAH,122.0,KARA,CINKASSE,98.0,0.0,7.0,1,0.37634367696443094,0.045834146328949665
XM0A6NC3DUVRGOZ,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.07497329626180749,0.9572201310479488
D66GA2C3WGBGQBT,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.006232557870226585,0.8685553186170679
DHQJ6HC1L01DK2X,3961.125330406852,41,3.0981405356558143,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,group4,group5,group6,group5,group1,group1,group4,group1,group2,group1,0.6717828236877257,0.8726551800953493,7.561421132935464,7.7381556215940925,1.210564892520145,3.032474125462494,1.5945077619635442,6.874556209585856,1.019593946806729,4.911102799326948,0.6712378408386188,0.29464322509418617,2.3785077443280587,7.963968698920755,5.944289855928559,4.131562057331422,5.385545581732747,5.386103707333844,2.0893323261754078,0.4676011177624213,rural,SAVANES,ANIE,50.0,MARITIME,LOME COMMUNE,93.0,0.0,3.0,1,0.29604602371950417,0.9111499225892135
OFQP2O8EDDSAK9O,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.6955457804573033,0.20300458027027324
IX6Y8W4L8O8GZT4,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.906290280144919,0.21225582308104585
O45KHUQFTBHIVZI,7331.72066725678,44,4.550167466680598,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,group6,group4,group0,group1,group1,group6,group2,group0,group1,group1,0.20186399608466643,0.7408892223280162,1.7280099068485608,4.124072108878223,0.8416985245265547,0.5351315941549866,0.4402254311370044,4.97736204598413,2.1956948734239026,0.9460546480616472,0.516267910969108,2.102842926195973,2.617725010978906,2.4519541740036335,3.0833785627536603,2.9641521585454615,3.0727482036936893,4.108086879305284,3.7350274852094185,7.3741115159828725,urban,PLATEAUX,ANIE,287.0,CENTRALE,TCHAOUDJO,376.0,0.0,1.0,1,0.2946725367667782,0.7225258841861008
AMQHVTO04PKE2PF,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9241172154073054,0.655831577025279
WMF7F64O8KML38Q,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8516187188513522,0.14083219842397565
EEI5K6BHU9JT2C3,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.4771747951221972,0.4644874449707237
AO0EFUF3PXXV0RH,7157.759634085862,48,4.607869907337276,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,group6,group0,group4,group2,group2,group5,group4,group3,group4,group0,0.8480549987054837,0.9409202698074033,2.0167913330792446,4.421526906276844,3.7463396013259946,2.5072683702433114,3.4306955396050864,2.9260648783939494,2.528904807633071,2.114703096463517,0.9007957926884675,0.06927776186402901,0.23175793530179345,2.0151801509409957,2.503599166983081,2.871080243325082,1.9347923609607438,8.859985539198583,0.3926964513758724,0.467710998997533,rural,CENTRALE,OTI,315.0,MARITIME,KERAN,261.0,1.0,3.0,1,0.8128667935815077,0.419696344696902
4PBR0JP29UO9YM2,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.22155137184520013,0.08802540407431747
6OTAZWPWFBQSPAM,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.35068539319551395,0.9668333532234051
VHO65YEA42F66E2,6060.694690633914,51,3.995786130163646,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,group1,group0,group5,group0,group1,group5,group0,group0,group2,group1,0.9801469317616689,0.12413773207482481,1.0322056922505602,3.9109855040169856,0.2893286504797006,1.5131002297962874,3.8387745483640647,4.059024605416512,2.9611030468249595,1.5199592562010715,1.9923246112708097,1.397961057106449,2.463172836872201,4.8489692163892,3.5016452925178037,5.742180174192416,5.0630635986974175,2.263885162145904,0.6675517560137856,0.2778943162189229,rural,MARITIME,GOLFE,378.0,CENTRALE,SOTOUBOUA,65.0,0.0,8.0,1,0.9017953887669639,0.0569649103457196
WAKYJ4RE8GZZC5P,6490.912226588879,52,3.6184201969171705,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,group7,group5,group3,group2,group0,group6,group2,group1,group0,group0,0.10772852034779934,0.7815406508578451,0.03946889380385166,7.483902397423228,0.46184518679961917,3.2140665818565677,3.276273995734268,1.717857445110599,0.38757519103028737,0.687989652765546,0.9584007563128036,1.3525089751425414,1.3363467460696827,5.038520815523572,0.6890347308592943,6.080315499767843,2.6537590029120706,6.176382010179282,0.06297055348213287,6.116353397604255,rural,CENTRALE,AGOE-NYIVE,304.0,MARITIME,ANIE,108.0,1.0,1.0,1,0.688920337434206,0.8548341948652778
NX810JJ96Y7HK03,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9000051693235003,0.7154358131261791
KKLX9HY2QU41Q8M,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9780893340420306,0.4411482531745651
6LMGJTWTBSOQEZP,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2137324784713759,0.06952044826439852
TWCLTC0LGPQ7REZ,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5108729724578525,0.49086342260875226
EQFNLTUYAOWG0V0,3267.0912610796768,57,5.837324776677964,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,group1,group2,group1,group6,group0,group4,group1,group2,group4,group0,0.7374338103559661,0.9541928679912259,2.4840741181337327,2.1662913395328376,2.128604363838544,0.48616232321651964,3.0702072322496847,0.06655963661673192,2.704971722709199,4.580502640549051,1.166049415482685,1.9626698558770386,2.5233148989898146,2.0613641731398067,5.117259537351613,2.352037114463225,7.3301185716671595,7.006016790649528,3.1031954436885933,5.3311871576469825,urban,KARA,BASSAR,374.0,MARITIME,TANDJOARE,102.0,0.0,2.0,1,0.8256960888129941,0.9995890102774512
F0TKDLZSJA0OIF5,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9839638531554468,0.6163135822593165
6J8G568YEGYM8CY,5196.611594738952,59,2.409149786640697,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,group7,group2,group7,group6,group1,group5,group0,group7,group2,group2,0.18269679531856686,0.3247371915158318,5.390833632360288,2.0697577752007517,0.7228208419876969,8.94570461947672,0.4095359894851369,1.191926203305432,2.3110340399621006,2.9003542478478463,1.1217863866175661,0.5192473078377873,0.9235425604703001,7.564689918034713,2.0039471543727654,0.7519009513738881,6.34792211889689,6.2999093903979,2.4684124791111834,2.551422795183929,rural,KARA,OGOU,289.0,CENTRALE,TANDJOARE,98.0,1.0,3.0,1,0.37667247823056815,0.36789568992427935
3WMPOHSDFGD1KF6,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5623213890845157,0.15633094785511414
1T7SDRIBX29JBMN,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8432641547817831,0.17889901729533364
